ID,問題ID,ヒントレベル,ヒント文面,削除フラグ,登録日時,修正日時
id,question_id,level,hint,deleted,created_ts,modified_ts
1,1,1,Webでシーザー暗号を調べよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
2,1,2,シーザー暗号は元のアルファベットをある規則に従って別のアルファベットに変換する暗号だ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
3,1,3,シーザー暗号は元のアルファベットを3文字後ろのアルファベットに置き換えるんだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
4,1,4,aならd、bならe、cならfというように3文字後ろのアルファベットに変換する,0,2017-12-27 12:24:12,2017-12-27 12:24:12
5,1,5,Vwdb Kxqjubという文字列はシーザー暗号化されたものだから、アルファベットを3文字前にずらせば元の文字列がわかる。例えばVの3文字前はS、wの3文字前はtというように変換しよう。,0,2017-12-27 12:24:12,2017-12-27 12:24:12
6,2,1,高校生の頃に中退をして渡米を行っています,0,2017-12-27 12:24:12,2017-12-27 12:24:12
7,2,2,若い頃、慢性肝炎で生死をさまよった経験があります,0,2017-12-27 12:24:12,2017-12-27 12:24:12
8,2,3,坂本龍馬の大ファン,0,2017-12-27 12:24:12,2017-12-27 12:24:12
9,2,4,東日本大震災復興において多額の寄付を行っています,0,2017-12-27 12:24:12,2017-12-27 12:24:12
10,2,5,頭が薄いことをよくネタにします,0,2017-12-27 12:24:12,2017-12-27 12:24:12
11,3,1,まずはブラウザの機能でHTMLのソースを表示してみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
12,3,2,右クリックでソースの表示を選択しよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
13,3,3,ソースの中をくまなく調べてみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
14,3,4,ソースの中のHTMLのコメントアウト部分をよく見よう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
15,3,5,真ん中あたりにidとpasswordが書いてあるぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
16,4,1,言語学者でもあります,0,2017-12-27 12:24:12,2017-12-27 12:24:12
17,4,2,プログラマの三大美徳というものを唱え始めました,0,2017-12-27 12:24:12,2017-12-27 12:24:12
18,4,3,プログラミング Perl の共同著者です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
19,4,4,まつもとゆきひろ氏が尊敬をしている人物です,0,2017-12-27 12:24:12,2017-12-27 12:24:12
20,4,5,とっても愛妻家,0,2017-12-27 12:24:12,2017-12-27 12:24:12
21,5,1,パスワードはシーザー暗号化されているのでまずは暗号化される前の文字列にもどそう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
22,5,2,シーザー暗号がわからない人は問1のヒントを見よう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
23,5,3,リストの先頭から順番にIDとパスワードを入力してみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
24,5,4,正解のIDはサイトのどこかに隠されている,0,2017-12-27 12:24:12,2017-12-27 12:24:12
25,5,5,サイトからリンクされているid.jsを見てみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
26,6,1,高校時代は友達が非常に少なかったらしいです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
27,6,2,大学時代に「Coursematch」というサービスを開発しています,0,2017-12-27 12:24:12,2017-12-27 12:24:12
28,6,3,画像格付けサイト「Facemash.com」は女子学生の容姿を格付けする内容で大学から保護観察処分,0,2017-12-27 12:24:12,2017-12-27 12:24:12
29,6,4,いつも同じ服装である理由は仕事以外の意思決定を少なくしたいとのこと,0,2017-12-27 12:24:12,2017-12-27 12:24:12
30,6,5,名言「リスクを取らないことが一番のリスクだ」,0,2017-12-27 12:24:12,2017-12-27 12:24:12
31,7,1,サイトを改ざんするには現在表示されているページのHTMLを改ざんする必要がある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
32,7,2,テキストボックスに入力された文字を送信するとHTMLの一部としてWebページに表示される,0,2017-12-27 12:24:12,2017-12-27 12:24:12
33,7,3,テキストボックスに特定の文字を入力して送信するとHTMLの一部としてページが表示される,0,2017-12-27 12:24:12,2017-12-27 12:24:12
34,7,4,HTMLとは<h1>タイトル</h1>みたいなタグで囲まれた構文を持つ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
35,7,5,テキストボックスに適当なHTMLを入力してみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
36,8,1,写真に埋め込まれた位置情報をExifというんだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
37,8,2,Exifの情報を調べるサイトがあるぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
38,8,3,モスバーガーの写真をそのサイトで調べてみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
39,8,4,位置情報がわかったらその場所をGoogle Mapsで調べてみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
40,8,5,http:://exif-check.orgで位置情報を調べられるぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
41,9,1,バイナリデータの中身をバイナリエディタで見てみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
42,9,2,バイナリエディタはWindowsの人はBZ、Macの人はhexeditというツールがあるぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
43,9,3,パスワードはプログラムの中に直接書かれている,0,2017-12-27 12:24:12,2017-12-27 12:24:12
44,9,4,バイナリデータの中のASCII表示のパスワードが隠れているかもしれない,0,2017-12-27 12:24:12,2017-12-27 12:24:12
45,9,5,パスワードはかなり簡単な文字列だ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
46,10,1,次のヒントをみるしかない！,0,2017-12-27 12:24:12,2017-12-27 12:24:12
47,10,2,見当もつかないだろ？,0,2017-12-27 12:24:12,2017-12-27 12:24:12
48,10,3,告知HPの問題が解けた君ならできるはずだけどなぁ？,0,2017-12-27 12:24:12,2017-12-27 12:24:12
49,10,4,ソースコードを直接見るにはどうしたらいいんだっけ？,0,2017-12-27 12:24:12,2017-12-27 12:24:12
50,10,5,この辺を右クリックしたら、ソースコードがみれるだろ？,0,2017-12-27 12:24:12,2017-12-27 12:24:12
51,11,1,URL アドレスはネームサーバーに問い合わせているんだね,0,2017-12-27 12:24:12,2017-12-27 12:24:12
52,11,2,ネームサーバーに問い合わせると IP アドレスを教えてくれる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
53,11,3,ネームサーバーに問い合わせコマンドがあるんだよ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
54,11,4,ソースコードを直接見るにはどうしたらいいんだっけ？,0,2017-12-27 12:24:12,2017-12-27 12:24:12
55,11,5,web ブラウザの機能を使うか UNIX のコマンドかどちらかだね,0,2017-12-27 12:24:12,2017-12-27 12:24:12
56,12,1,最近はwebサーバーもいろんな種類がある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
57,12,2,http ヘッダーに情報が隠されてるぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
58,12,3,サイトにアクセスすれば必ず返却されているはずなんだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
59,12,4,おなじく、問い合わせるコマンドがあるぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
60,12,5,やはりweb ブラウザの機能を使うか UNIX のコマンドかどちらかだね,0,2017-12-27 12:24:12,2017-12-27 12:24:12
61,13,1,これは検索すれば簡単ですね,0,2017-12-27 12:24:12,2017-12-27 12:24:12
62,13,2,世界で共通化されているみたいだね,0,2017-12-27 12:24:12,2017-12-27 12:24:12
63,13,3,UNIX時間ともいうみたいです,0,2017-12-27 12:24:12,2017-12-27 12:24:12
64,13,4,1970年,0,2017-12-27 12:24:12,2017-12-27 12:24:12
65,13,5,UNIX時間で検索してみよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
66,14,1,うるう年の法則を覚えているかい？,0,2017-12-27 12:24:12,2017-12-27 12:24:12
67,14,2,4年一度だけではない,0,2017-12-27 12:24:12,2017-12-27 12:24:12
68,14,3,100年に一度の例外だけでもない,0,2017-12-27 12:24:12,2017-12-27 12:24:12
69,14,4,400年に一度の例外もある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
70,14,5,こういう計算こそプログラミングだ -> https://www.python.org/,0,2017-12-27 12:24:12,2017-12-27 12:24:12
71,15,1,日本語のコメントを読んでなにをしているかイメージしよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
72,15,2,**** は標準関数だ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
73,15,3,条件に一致するデータを検索していて戻り値はリストになる,0,2017-12-27 12:24:12,2017-12-27 12:24:12
74,15,4,Perlは公式ドキュメントを日本語化されたものがある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
75,15,5,Perldoc.jp,0,2017-12-27 12:24:12,2017-12-27 12:24:12
76,16,1,バイナリファイルといってもいろんな種類がある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
77,16,2,今回用意したファイルは実行ファイルだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
78,16,3,Linux上で実行可能なファイルだ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
79,16,4,バイナリファイルの種類を調べるコマンドがある,0,2017-12-27 12:24:12,2017-12-27 12:24:12
80,16,5,fileコマンドを使う,0,2017-12-27 12:24:12,2017-12-27 12:24:12
81,17,1,ユーザーがどういう値を入力すれば今回の不具合がおきるか考えよう,0,2017-12-27 12:24:12,2017-12-27 12:24:12
82,17,2,uid = $uidの部分が怪しいぞ,0,2017-12-27 12:24:12,2017-12-27 12:24:12
